#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
10000,-79916.37387709238,15141.640625,-64774.73325209238,302.7128951428465,61.32396441861429,0.9773795221610843,0
20000,-80235.93184681924,15050.29296875,-65185.638878069236,300.88666546451856,60.87153434662618,0.9846439338818898,611
30000,-80092.63162643055,14613.3984375,-65479.23318893055,292.1522349161932,61.225316421108964,0.9789543042659369,614
40000,-80069.58387828246,14851.607421875,-65217.97645640746,296.9145280583337,60.80389745254356,0.9857392297470442,613
50000,-80083.75799116539,14802.1904296875,-65281.56756147789,295.92657958268234,61.658731476706045,0.9720729830961894,612
60000,-79971.2917054838,14953.345703125,-65017.9460023588,298.9484879459561,61.10725598427951,0.9808456634987494,612
70000,-80488.23588452605,14872.142578125,-65616.09330640105,297.32506855091304,60.553100265223705,0.9898219377367025,613
80000,-79904.24269980099,14796.6953125,-65107.54738730099,295.81672075865026,61.07315900807152,0.9813932669270838,614
90000,-80351.02628125728,15015.2548828125,-65335.77139844478,300.18618123714276,60.91564278184152,0.9839309626123693,615
100000,-80059.56320195238,14673.4560546875,-65386.10714726488,293.3529116212123,60.89079868627535,0.9843324169436157,615
